Characteristic;Total ;Under $5,000;$5,000 to  $9,999;$10,000 to $14,999;$15,000 to $19,999;$20,000 to $24,999;$25,000 to $29,999;$30,000 to $34,999;$35,000 to $39,999;$40,000 to $44,999;$45,000 to $49,999;$50,000 to $54,999;$55,000 to $59,999;$60,000 to $64,999;$65,000 to $69,999;$70,000 to $74,999;$75,000 to $79,999;$80,000 to $84,999;$85,000 to $89,999;$90,000 to $94,999;$95,000 to $99,999;$100,000 to $104,999;$105,000 to $109,999;$110,000 to $114,999;$115,000 to $119,999;$120,000 to $124,999;$125,000 to $129,999;$130,000 to $134,999;$135,000 to $139,999;$140,000 to $144,999;$145,000 to $149,999;$150,000 to $154,999;$155,000 to $159,999;$160,000 to $164,999;$165,000 to $169,999;$170,000 to $174,999;$175,000 to $179,999;$180,000 to $184,999;$185,000 to $189,999;$190,000 to $194,999;$195,000 to $199,999;$200,000 and over;Median income;;Mean income;;Gini ratio;;Income per household member;
All Households;125819;4235;4071;6324;6470;6765;6222;6354;5743;5203;5002;5078;4140;4367;3733;3683;3650;3354;2893;2850;2452;2792;2232;2158;1748;1987;1675;1474;1380;1220;1111;1313;1017;993;761;822;700;677;536;561;431;7640;56516;321;79263;403;0;0;31304;169
Inside metropolitan statistical areas;107615;3577;3265;5065;5250;5580;5107;5308;4755;4338;4264;4253;3477;3773;3190;3098;3176;2887;2482;2471;2136;2461;1978;1904;1541;1792;1469;1335;1246;1078;990;1200;922;907;706;769;648;622;489;516;400;7191;59258;474;82402;469;0;0;32344;193
..Inside principal cities;42615;1798;1801;2417;2260;2463;2170;2222;1964;1829;1771;1696;1344;1482;1155;1173;1226;1017;848;897;765;848;702;599;538;607;489;450;404;332;337;403;299;318;234;256;215;183;195;172;135;2601;51378;393;76291;738;1;0;31376;318
..Outside principal cities;65000;1778;1464;2648;2990;3117;2937;3086;2791;2510;2494;2557;2133;2291;2035;1925;1950;1870;1634;1574;1371;1613;1276;1304;1003;1185;979;884;842;746;653;797;624;589;472;513;433;439;293;344;265;4590;64144;578;86408;673;0;0;32932;257
Outside metropolitan statistical areas (4);18204;659;806;1259;1220;1185;1115;1046;988;865;738;825;663;594;543;585;474;467;411;379;316;331;254;254;208;195;206;139;134;142;121;113;95;86;55;53;52;55;47;45;32;449;44657;938;60708;716;0;0;24884;324
Northeast;22347;675;687;1154;1124;1082;1016;1039;964;803;758;774;674;742;629;641;609;566;547;506;444;544;384;431;345;384;377;300;261;224;243;277;236;187;160;162;180;155;97;119;98;1749;62182;816;87011;1149;0;0;34814;452
..New England;5968;177;165;310;291;245;272;274;200;207;196;205;164;217;194;175;166;128;147;148;111;169;105;117;73;107;76;88;89;71;70;67;65;56;52;62;34;41;30;39;40;525;66594;1511;91955;2024;0;0;37468;790
..Middle Atlantic;16379;498;522;844;833;837;744;765;764;596;562;568;511;526;435;466;442;438;399;359;333;375;279;315;271;277;302;212;172;153;174;210;170;131;108;100;146;114;66;81;58;1224;61053;864;85209;1359;0;0;33871;530
Midwest;27455;770;876;1303;1391;1354;1363;1435;1269;1182;1152;1237;923;942;866;881;832;761;631;660;558;688;521;474;356;457;376;317;329;330;238;256;216;230;154;180;139;124;105;123;81;1373;57082;812;76763;849;0;0;31424;336
..East North Central;18950;566;629;890;970;971;997;1002;903;799;797;881;652;682;568;603;548;504;428;459;352;467;355;282;234;320;249;218;202;243;135;167;167;159;106;120;100;79;76;80;62;926;55511;920;75316;1081;0;0;30863;437
..West North Central;8505;204;247;413;421;382;366;432;367;383;355;356;271;260;297;278;285;256;203;202;207;221;166;192;123;137;127;99;127;87;103;90;49;72;48;60;39;46;28;42;19;447;61101;1615;79988;1466;0;0;32671;552
South;47822;1946;1726;2630;2714;2922;2572;2585;2159;2045;2002;1983;1590;1691;1345;1296;1308;1247;1011;1028;851;899;794;785;606;670;583;515;416;393;390;464;310;327;243;269;216;248;183;176;138;2545;51174;378;73687;634;0;0;29349;256
..South Atlantic;25325;1005;847;1370;1418;1617;1309;1295;1097;1057;1083;1018;846;883;706;703;660;667;564;554;467;484;437;434;340;308;340;280;227;220;219;253;190;198;140;159;100;152;89;107;95;1386;52044;576;74951;1037;0;0;30415;411
..East South Central;7747;331;365;532;501;480;473;461;395;377;303;356;250;251;192;185;180;202;166;189;149;120;101;119;68;112;62;75;53;52;34;49;44;31;19;30;27;28;29;15;9;328;44126;1365;65198;1486;0;0;26904;628
..West South Central;14750;610;514;727;795;825;790;829;667;610;616;608;493;556;448;408;469;377;281;285;234;296;255;233;198;250;181;160;136;121;137;162;76;97;84;80;89;68;65;55;34;831;52539;984;75977;1301;0;0;28817;489
West;28195;843;782;1237;1241;1408;1272;1296;1351;1174;1090;1084;952;991;894;865;901;780;705;656;599;661;534;467;442;476;339;342;374;273;240;317;255;248;203;211;165;150;151;143;114;1973;61442;575;85015;909;0;0;31709;343
..Mountain;9100;280;229;397;434;494;445;458;498;415;400;407;318;323;326;284;302;265;221;216;190;197;175;150;157;154;138;89;99;66;69;85;60;81;56;46;49;31;32;38;20;405;56161;1061;75513;1252;0;0;29565;463
..Pacific;19095;563;553;840;807;914;826;837;853;758;690;677;634;668;568;580;599;516;484;440;409;464;359;317;284;322;201;253;274;207;171;232;195;167;147;166;116;118;120;105;94;1568;64210;1359;89543;1214;0;0;32661;469
