AcadYr,Major,Level,NumRecords,School
2016,Undeclared,Undergraduate,13140,Berkeley
2016,Other/Interdisc.,Undergraduate,1265,Berkeley
2016,Multiple Majors,Undergraduate,1488,Berkeley
2016,Social Sciences,Undergraduate,2806,Berkeley
2016,Public Admin,Undergraduate,200,Berkeley
2016,Physical Sciences,Undergraduate,1241,Berkeley
2016,Other Health Science,Undergraduate,216,Berkeley
2016,Life Sciences,Undergraduate,2171,Berkeley
2016,Engineering/CS,Undergraduate,4425,Berkeley
2016,Business,Undergraduate,598,Berkeley
2016,Arts & Humanities,Undergraduate,1213,Berkeley
2016,Architecture,Undergraduate,547,Berkeley
2015,Undeclared,Undergraduate,11235,Berkeley
2015,Other/Interdisc.,Undergraduate,1286,Berkeley
2015,Multiple Majors,Undergraduate,1496,Berkeley
2015,Social Sciences,Undergraduate,3151,Berkeley
2015,Public Admin,Undergraduate,208,Berkeley
2015,Physical Sciences,Undergraduate,1280,Berkeley
2015,Other Health Science,Undergraduate,334,Berkeley
2015,Life Sciences,Undergraduate,2089,Berkeley
2015,Engineering/CS,Undergraduate,4056,Berkeley
2015,Business,Undergraduate,593,Berkeley
2015,Arts & Humanities,Undergraduate,1284,Berkeley
2015,Architecture,Undergraduate,484,Berkeley
2014,Undeclared,Undergraduate,11025,Berkeley
2014,Other/Interdisc.,Undergraduate,1043,Berkeley
2014,Multiple Majors,Undergraduate,1586,Berkeley
2014,Social Sciences,Undergraduate,3196,Berkeley
2014,Public Admin,Undergraduate,218,Berkeley
2014,Physical Sciences,Undergraduate,1271,Berkeley
2014,Other Health Science,Undergraduate,315,Berkeley
2014,Life Sciences,Undergraduate,2193,Berkeley
2014,Engineering/CS,Undergraduate,3940,Berkeley
2014,Business,Undergraduate,565,Berkeley
2014,Arts & Humanities,Undergraduate,1326,Berkeley
2014,Architecture,Undergraduate,448,Berkeley
2013,Undeclared,Undergraduate,10029,Berkeley
2013,Other/Interdisc.,Undergraduate,1013,Berkeley
2013,Multiple Majors,Undergraduate,1656,Berkeley
2013,Social Sciences,Undergraduate,3096,Berkeley
2013,Public Admin,Undergraduate,221,Berkeley
2013,Physical Sciences,Undergraduate,1206,Berkeley
2013,Other Health Science,Undergraduate,261,Berkeley
2013,Life Sciences,Undergraduate,2242,Berkeley
