AcademicYr;BroadDiscipline;StudentLevel;NumOfRecords
2016;Undeclared;Undergraduate;345
2016;Other/Interdisc.;Undergraduate;1844
2016;Multiple Majors;Undergraduate;1339
2016;Social Sciences;Undergraduate;6022
2016;Physical Sciences;Undergraduate;1853
2016;Other Health Science;Undergraduate;440
2016;Life Sciences;Undergraduate;8872
2016;Engineering/CS;Undergraduate;4375
2016;Education;Undergraduate;97
2016;Business;Undergraduate;1362
2016;Arts & Humanities;Undergraduate;2485
2016;Architecture;Undergraduate;345
2015;Undeclared;Undergraduate;382
2015;Other/Interdisc.;Undergraduate;1708
2015;Multiple Majors;Undergraduate;1265
2015;Social Sciences;Undergraduate;5742
2015;Physical Sciences;Undergraduate;1735
2015;Other Health Science;Undergraduate;402
2015;Life Sciences;Undergraduate;8658
2015;Engineering/CS;Undergraduate;4305
2015;Education;Undergraduate;73
2015;Business;Undergraduate;1297
2015;Arts & Humanities;Undergraduate;2384
2015;Architecture;Undergraduate;306
2014;Undeclared;Undergraduate;432
2014;Other/Interdisc.;Undergraduate;1536
2014;Multiple Majors;Undergraduate;1071
2014;Social Sciences;Undergraduate;5700
2014;Physical Sciences;Undergraduate;1670
2014;Other Health Science;Undergraduate;397
2014;Life Sciences;Undergraduate;8722
2014;Engineering/CS;Undergraduate;4195
2014;Education;Undergraduate;42
2014;Business;Undergraduate;1146
2014;Arts & Humanities;Undergraduate;2369
2014;Architecture;Undergraduate;285
2013;Undeclared;Undergraduate;496
2013;Other/Interdisc.;Undergraduate;1472
2013;Multiple Majors;Undergraduate;736
2013;Social Sciences;Undergraduate;5687
2013;Physical Sciences;Undergraduate;1607
2013;Other Health Science;Undergraduate;331
2013;Life Sciences;Undergraduate;8629
2013;Engineering/CS;Undergraduate;3837
2013;Education;Undergraduate;36
2013;Business;Undergraduate;985
2013;Arts & Humanities;Undergraduate;2451
2013;Architecture;Undergraduate;266
2012;Undeclared;Undergraduate;562
2012;Other/Interdisc.;Undergraduate;1377
2012;Multiple Majors;Undergraduate;857
2012;Social Sciences;Undergraduate;5749
2012;Physical Sciences;Undergraduate;1593
2012;Other Health Science;Undergraduate;200
2012;Life Sciences;Undergraduate;8205
2012;Engineering/CS;Undergraduate;3640
2012;Education;Undergraduate;37
2012;Business;Undergraduate;783
2012;Arts & Humanities;Undergraduate;2388
2012;Architecture;Undergraduate;275
2011;Undeclared;Undergraduate;659
2011;Other/Interdisc.;Undergraduate;1248
2011;Multiple Majors;Undergraduate;899
