AcademicYr;BroadDiscipline;StudentLevel;NumOfRecords
2016;Undeclared;Undergraduate;9063
2016;Other/Interdisc.;Undergraduate;282
2016;Multiple Majors;Undergraduate;729
2016;Social Sciences;Undergraduate;1690
2016;Public Admin;Undergraduate;62
2016;Physical Sciences;Undergraduate;449
2016;Life Sciences;Undergraduate;1638
2016;Engineering/CS;Undergraduate;1316
2016;Business;Undergraduate;487
2016;Arts & Humanities;Undergraduate;1246
2015;Undeclared;Undergraduate;8592
2015;Other/Interdisc.;Undergraduate;256
2015;Multiple Majors;Undergraduate;662
2015;Social Sciences;Undergraduate;1804
2015;Public Admin;Undergraduate;42
2015;Physical Sciences;Undergraduate;479
2015;Life Sciences;Undergraduate;1686
2015;Engineering/CS;Undergraduate;945
2015;Business;Undergraduate;499
2015;Arts & Humanities;Undergraduate;1266
2014;Undeclared;Undergraduate;8375
2014;Other/Interdisc.;Undergraduate;214
2014;Multiple Majors;Undergraduate;687
2014;Social Sciences;Undergraduate;1983
2014;Public Admin;Undergraduate;28
2014;Physical Sciences;Undergraduate;456
2014;Life Sciences;Undergraduate;1784
2014;Engineering/CS;Undergraduate;832
2014;Business;Undergraduate;509
2014;Arts & Humanities;Undergraduate;1409
2013;Undeclared;Undergraduate;7775
2013;Other/Interdisc.;Undergraduate;169
2013;Multiple Majors;Undergraduate;677
2013;Social Sciences;Undergraduate;1860
2013;Public Admin;Undergraduate;9
2013;Physical Sciences;Undergraduate;446
2013;Life Sciences;Undergraduate;1890
2013;Engineering/CS;Undergraduate;986
2013;Business;Undergraduate;461
2013;Arts & Humanities;Undergraduate;1422
2012;Undeclared;Undergraduate;7935
2012;Other/Interdisc.;Undergraduate;145
2012;Multiple Majors;Undergraduate;715
2012;Social Sciences;Undergraduate;1789
2012;Public Admin;Undergraduate;28
2012;Physical Sciences;Undergraduate;452
2012;Life Sciences;Undergraduate;1900
2012;Engineering/CS;Undergraduate;936
2012;Education;Undergraduate;2
2012;Business;Undergraduate;481
2012;Arts & Humanities;Undergraduate;1595
2011;Undeclared;Undergraduate;7428
2011;Other/Interdisc.;Undergraduate;119
2011;Multiple Majors;Undergraduate;706
2011;Social Sciences;Undergraduate;1923
2011;Public Admin;Undergraduate;79
2011;Physical Sciences;Undergraduate;479
2011;Life Sciences;Undergraduate;1957
2011;Engineering/CS;Undergraduate;799
2011;Education;Undergraduate;5
2011;Business;Undergraduate;555
2011;Arts & Humanities;Undergraduate;1895
2010;Undeclared;Undergraduate;7070
2010;Other/Interdisc.;Undergraduate;108
2010;Multiple Majors;Undergraduate;657
2010;Social Sciences;Undergraduate;2145
2010;Public Admin;Undergraduate;112
2010;Physical Sciences;Undergraduate;518
2010;Life Sciences;Undergraduate;1901
2010;Engineering/CS;Undergraduate;699
2010;Education;Undergraduate;3
2010;Business;Undergraduate;580
2010;Arts & Humanities;Undergraduate;1875
2009;Undeclared;Undergraduate;7472
2009;Other/Interdisc.;Undergraduate;87
2009;Multiple Majors;Undergraduate;544
2009;Social Sciences;Undergraduate;1978
2009;Public Admin;Undergraduate;132
2009;Physical Sciences;Undergraduate;426
2009;Life Sciences;Undergraduate;1658
2009;Engineering/CS;Undergraduate;562
2009;Business;Undergraduate;566
2009;Arts & Humanities;Undergraduate;1834
2008;Undeclared;Undergraduate;7970
2008;Other/Interdisc.;Undergraduate;169
2008;Multiple Majors;Undergraduate;463
2008;Social Sciences;Undergraduate;1768
2008;Public Admin;Undergraduate;124
2008;Physical Sciences;Undergraduate;382
2008;Life Sciences;Undergraduate;1460
2008;Engineering/CS;Undergraduate;462
2008;Business;Undergraduate;502
2008;Arts & Humanities;Undergraduate;1825
2007;Undeclared;Undergraduate;7421
2007;Other/Interdisc.;Undergraduate;196
2007;Multiple Majors;Undergraduate;516
2007;Social Sciences;Undergraduate;1729
2007;Public Admin;Undergraduate;107
2007;Physical Sciences;Undergraduate;363
2007;Life Sciences;Undergraduate;1445
2007;Engineering/CS;Undergraduate;300
2007;Business;Undergraduate;471
2007;Arts & Humanities;Undergraduate;1855
2016;Other/Interdisc.;Graduate;37
2016;Social Sciences;Graduate;291
2016;Physical Sciences;Graduate;400
2016;Life Sciences;Graduate;265
2016;Engineering/CS;Graduate;473
2016;Education;Graduate;111
2016;Arts & Humanities;Graduate;244
2015;Other/Interdisc.;Graduate;40
2015;Social Sciences;Graduate;286
2015;Physical Sciences;Graduate;359
2015;Life Sciences;Graduate;237
2015;Engineering/CS;Graduate;363
2015;Education;Graduate;106
2015;Arts & Humanities;Graduate;246
2014;Other/Interdisc.;Graduate;37
2014;Social Sciences;Graduate;260
2014;Physical Sciences;Graduate;348
2014;Life Sciences;Graduate;233
2014;Engineering/CS;Graduate;345
2014;Education;Graduate;110
2014;Arts & Humanities;Graduate;256
2013;Other/Interdisc.;Graduate;39
2013;Social Sciences;Graduate;239
2013;Physical Sciences;Graduate;369
2013;Life Sciences;Graduate;240
2013;Engineering/CS;Graduate;297
2013;Education;Graduate;89
2013;Arts & Humanities;Graduate;235
2012;Other/Interdisc.;Graduate;37
2012;Social Sciences;Graduate;228
2012;Physical Sciences;Graduate;365
2012;Life Sciences;Graduate;228
2012;Engineering/CS;Graduate;244
2012;Education;Graduate;93
2012;Arts & Humanities;Graduate;231
2011;Other/Interdisc.;Graduate;40
2011;Social Sciences;Graduate;260
2011;Physical Sciences;Graduate;365
2011;Life Sciences;Graduate;216
