AcademicYr;BroadDiscipline;StudentLevel;NumOfRecords
2016;Undeclared;Undergraduate;13140
2016;Other/Interdisc.;Undergraduate;1265
2016;Multiple Majors;Undergraduate;1488
2016;Social Sciences;Undergraduate;2806
2016;Public Admin;Undergraduate;200
2016;Physical Sciences;Undergraduate;1241
2016;Other Health Science;Undergraduate;216
2016;Life Sciences;Undergraduate;2171
2016;Engineering/CS;Undergraduate;4425
2016;Business;Undergraduate;598
2016;Arts & Humanities;Undergraduate;1213
2016;Architecture;Undergraduate;547
2015;Undeclared;Undergraduate;11235
2015;Other/Interdisc.;Undergraduate;1286
2015;Multiple Majors;Undergraduate;1496
2015;Social Sciences;Undergraduate;3151
2015;Public Admin;Undergraduate;208
2015;Physical Sciences;Undergraduate;1280
2015;Other Health Science;Undergraduate;334
2015;Life Sciences;Undergraduate;2089
2015;Engineering/CS;Undergraduate;4056
2015;Business;Undergraduate;593
2015;Arts & Humanities;Undergraduate;1284
2015;Architecture;Undergraduate;484
2014;Undeclared;Undergraduate;11025
2014;Other/Interdisc.;Undergraduate;1043
2014;Multiple Majors;Undergraduate;1586
2014;Social Sciences;Undergraduate;3196
2014;Public Admin;Undergraduate;218
2014;Physical Sciences;Undergraduate;1271
2014;Other Health Science;Undergraduate;315
2014;Life Sciences;Undergraduate;2193
2014;Engineering/CS;Undergraduate;3940
2014;Business;Undergraduate;565
2014;Arts & Humanities;Undergraduate;1326
2014;Architecture;Undergraduate;448
2013;Undeclared;Undergraduate;10029
2013;Other/Interdisc.;Undergraduate;1013
2013;Multiple Majors;Undergraduate;1656
2013;Social Sciences;Undergraduate;3096
2013;Public Admin;Undergraduate;221
2013;Physical Sciences;Undergraduate;1206
2013;Other Health Science;Undergraduate;261
2013;Life Sciences;Undergraduate;2242
2013;Engineering/CS;Undergraduate;3787
2013;Business;Undergraduate;554
2013;Arts & Humanities;Undergraduate;1446
2013;Architecture;Undergraduate;440
2012;Undeclared;Undergraduate;9997
2012;Other/Interdisc.;Undergraduate;1029
2012;Multiple Majors;Undergraduate;1553
2012;Social Sciences;Undergraduate;3136
2012;Public Admin;Undergraduate;211
2012;Physical Sciences;Undergraduate;1118
2012;Other Health Science;Undergraduate;222
2012;Life Sciences;Undergraduate;2210
2012;Engineering/CS;Undergraduate;3634
2012;Business;Undergraduate;557
2012;Arts & Humanities;Undergraduate;1612
2012;Architecture;Undergraduate;495
2011;Undeclared;Undergraduate;9893
2011;Other/Interdisc.;Undergraduate;1050
2011;Multiple Majors;Undergraduate;1524
2011;Social Sciences;Undergraduate;3303
2011;Public Admin;Undergraduate;236
2011;Physical Sciences;Undergraduate;1028
2011;Other Health Science;Undergraduate;221
2011;Life Sciences;Undergraduate;2407
