AcademicYr;BroadDiscipline;StudentLevel;NumOfRecords
2016;Undeclared;Undergraduate;1998
2016;Other/Interdisc.;Undergraduate;1425
2016;Multiple Majors;Undergraduate;1659
2016;Social Sciences;Undergraduate;4697
2016;Physical Sciences;Undergraduate;1614
2016;Other Health Science;Undergraduate;1964
2016;Life Sciences;Undergraduate;3538
2016;Engineering/CS;Undergraduate;5706
2016;Education;Undergraduate;457
2016;Business;Undergraduate;2512
2016;Arts & Humanities;Undergraduate;1761
2015;Undeclared;Undergraduate;2094
2015;Other/Interdisc.;Undergraduate;1575
2015;Multiple Majors;Undergraduate;1521
2015;Social Sciences;Undergraduate;4518
2015;Physical Sciences;Undergraduate;1334
2015;Other Health Science;Undergraduate;1958
2015;Life Sciences;Undergraduate;3163
2015;Engineering/CS;Undergraduate;4819
2015;Education;Undergraduate;304
2015;Business;Undergraduate;2233
2015;Arts & Humanities;Undergraduate;1737
2014;Undeclared;Undergraduate;2141
2014;Other/Interdisc.;Undergraduate;1488
2014;Multiple Majors;Undergraduate;1480
2014;Social Sciences;Undergraduate;4643
2014;Physical Sciences;Undergraduate;1172
2014;Other Health Science;Undergraduate;1983
2014;Life Sciences;Undergraduate;3088
2014;Engineering/CS;Undergraduate;4564
2014;Education;Undergraduate;145
2014;Business;Undergraduate;1952
2014;Arts & Humanities;Undergraduate;1833
2013;Undeclared;Undergraduate;2160
2013;Other/Interdisc.;Undergraduate;1396
2013;Multiple Majors;Undergraduate;1298
2013;Social Sciences;Undergraduate;4573
2013;Physical Sciences;Undergraduate;1135
2013;Other Health Science;Undergraduate;1905
2013;Life Sciences;Undergraduate;3336
2013;Engineering/CS;Undergraduate;3944
2013;Education;Undergraduate;56
2013;Business;Undergraduate;1800
2013;Arts & Humanities;Undergraduate;1927
2012;Undeclared;Undergraduate;1741
2012;Other/Interdisc.;Undergraduate;1384
2012;Multiple Majors;Undergraduate;1245
2012;Social Sciences;Undergraduate;4270
2012;Physical Sciences;Undergraduate;1005
2012;Other Health Science;Undergraduate;1756
2012;Life Sciences;Undergraduate;3787
2012;Engineering/CS;Undergraduate;3359
2012;Education;Undergraduate;66
2012;Business;Undergraduate;1784
2012;Arts & Humanities;Undergraduate;1819
2011;Undeclared;Undergraduate;1583
2011;Other/Interdisc.;Undergraduate;1372
2011;Multiple Majors;Undergraduate;1330
2011;Social Sciences;Undergraduate;4382
2011;Physical Sciences;Undergraduate;979
2011;Other Health Science;Undergraduate;1323
2011;Life Sciences;Undergraduate;4107
2011;Engineering/CS;Undergraduate;3209
2011;Education;Undergraduate;11
2011;Business;Undergraduate;1701
2011;Arts & Humanities;Undergraduate;2006
2011;Architecture;Undergraduate;1
2010;Undeclared;Undergraduate;1195
2010;Other/Interdisc.;Undergraduate;1580
2010;Multiple Majors;Undergraduate;1407
2010;Social Sciences;Undergraduate;4577
2010;Physical Sciences;Undergraduate;984
2010;Other Health Science;Undergraduate;1046
2010;Life Sciences;Undergraduate;4221
2010;Engineering/CS;Undergraduate;3086
2010;Business;Undergraduate;1732
2010;Arts & Humanities;Undergraduate;2147
2010;Architecture;Undergraduate;1
2009;Undeclared;Undergraduate;1103
2009;Other/Interdisc.;Undergraduate;2048
2009;Multiple Majors;Undergraduate;1236
2009;Social Sciences;Undergraduate;4666
2009;Physical Sciences;Undergraduate;967
2009;Other Health Science;Undergraduate;755
2009;Life Sciences;Undergraduate;4275
2009;Engineering/CS;Undergraduate;2934
2009;Business;Undergraduate;1976
2009;Arts & Humanities;Undergraduate;2265
2009;Architecture;Undergraduate;1
2008;Undeclared;Undergraduate;1200
2008;Other/Interdisc.;Undergraduate;2194
2008;Multiple Majors;Undergraduate;1146
2008;Social Sciences;Undergraduate;4809
2008;Physical Sciences;Undergraduate;964
2008;Other Health Science;Undergraduate;614
2008;Life Sciences;Undergraduate;4262
2008;Engineering/CS;Undergraduate;2956
2008;Business;Undergraduate;1774
2008;Arts & Humanities;Undergraduate;2193
2008;Architecture;Undergraduate;10
2007;Undeclared;Undergraduate;1460
2007;Other/Interdisc.;Undergraduate;2302
2007;Multiple Majors;Undergraduate;1002
2007;Social Sciences;Undergraduate;5085
2007;Physical Sciences;Undergraduate;925
2007;Other Health Science;Undergraduate;408
2007;Life Sciences;Undergraduate;4064
2007;Engineering/CS;Undergraduate;2829
2007;Business;Undergraduate;1260
2007;Arts & Humanities;Undergraduate;2305
2007;Architecture;Undergraduate;56
2016;Other/Interdisc.;Graduate;64
2016;Multiple Majors;Graduate;69
2016;Social Sciences;Graduate;565
2016;Public Admin;Graduate;44
2016;Physical Sciences;Graduate;577
2016;Other Health Science;Graduate;218
2016;Medicine;Graduate;378
2016;Life Sciences;Graduate;391
2016;Law;Graduate;358
2016;Engineering/CS;Graduate;1354
2016;Education;Graduate;190
2016;Business;Graduate;716
2016;Arts & Humanities;Graduate;420
2016;Architecture;Graduate;79
2015;Other/Interdisc.;Graduate;42
2015;Multiple Majors;Graduate;71
2015;Social Sciences;Graduate;552
2015;Public Admin;Graduate;44
2015;Physical Sciences;Graduate;584
2015;Other Health Science;Graduate;219
2015;Medicine;Graduate;393
2015;Life Sciences;Graduate;405
2015;Law;Graduate;334
2015;Engineering/CS;Graduate;1405
2015;Education;Graduate;184
2015;Business;Graduate;721
2015;Arts & Humanities;Graduate;430
2015;Architecture;Graduate;100
2014;Other/Interdisc.;Graduate;36
2014;Multiple Majors;Graduate;62
2014;Social Sciences;Graduate;567
2014;Public Admin;Graduate;38
2014;Physical Sciences;Graduate;612
2014;Other Health Science;Graduate;193
2014;Medicine;Graduate;384
2014;Life Sciences;Graduate;405
2014;Law;Graduate;325
2014;Engineering/CS;Graduate;1431
2014;Education;Graduate;179
2014;Business;Graduate;725
2014;Arts & Humanities;Graduate;450
2014;Architecture;Graduate;88
2013;Other/Interdisc.;Graduate;39
2013;Multiple Majors;Graduate;54
2013;Social Sciences;Graduate;549
2013;Public Admin;Graduate;31
2013;Physical Sciences;Graduate;569
2013;Other Health Science;Graduate;148
2013;Medicine;Graduate;396
2013;Life Sciences;Graduate;419
2013;Law;Graduate;341
2013;Engineering/CS;Graduate;1273
2013;Education;Graduate;189
2013;Business;Graduate;733
2013;Arts & Humanities;Graduate;463
2013;Architecture;Graduate;86
2012;Other/Interdisc.;Graduate;40
2012;Multiple Majors;Graduate;58
2012;Social Sciences;Graduate;528
2012;Public Admin;Graduate;38
2012;Physical Sciences;Graduate;576
2012;Other Health Science;Graduate;143
2012;Medicine;Graduate;397
2012;Life Sciences;Graduate;426
2012;Law;Graduate;295
2012;Engineering/CS;Graduate;1226
2012;Education;Graduate;142
2012;Business;Graduate;720
2012;Arts & Humanities;Graduate;486
2012;Architecture;Graduate;95
2011;Other/Interdisc.;Graduate;37
2011;Multiple Majors;Graduate;57
2011;Social Sciences;Graduate;520
2011;Public Admin;Graduate;21
2011;Physical Sciences;Graduate;565
2011;Other Health Science;Graduate;131
2011;Medicine;Graduate;392
2011;Life Sciences;Graduate;459
2011;Law;Graduate;231
2011;Engineering/CS;Graduate;1152
2011;Education;Graduate;156
2011;Business;Graduate;728
2011;Arts & Humanities;Graduate;532
2011;Architecture;Graduate;102
2010;Other/Interdisc.;Graduate;42
2010;Multiple Majors;Graduate;58
2010;Social Sciences;Graduate;545
2010;Public Admin;Graduate;31
2010;Physical Sciences;Graduate;548
2010;Other Health Science;Graduate;63
2010;Medicine;Graduate;399
2010;Life Sciences;Graduate;434
2010;Law;Graduate;143
2010;Engineering/CS;Graduate;1055
2010;Education;Graduate;167
2010;Business;Graduate;796
2010;Arts & Humanities;Graduate;550
2010;Architecture;Graduate;92
2009;Other/Interdisc.;Graduate;23
2009;Multiple Majors;Graduate;61
2009;Social Sciences;Graduate;541
2009;Public Admin;Graduate;30
2009;Physical Sciences;Graduate;515
2009;Other Health Science;Graduate;40
2009;Medicine;Graduate;389
2009;Life Sciences;Graduate;461
2009;Law;Graduate;60
2009;Engineering/CS;Graduate;1021
2009;Education;Graduate;176
2009;Business;Graduate;833
2009;Arts & Humanities;Graduate;555
2009;Architecture;Graduate;84
2008;Other/Interdisc.;Graduate;35
2008;Multiple Majors;Graduate;64
2008;Social Sciences;Graduate;538
2008;Public Admin;Graduate;29
2008;Physical Sciences;Graduate;518
2008;Other Health Science;Graduate;11
2008;Medicine;Graduate;369
2008;Life Sciences;Graduate;458
2008;Engineering/CS;Graduate;995
2008;Education;Graduate;194
2008;Business;Graduate;859
2008;Arts & Humanities;Graduate;599
2008;Architecture;Graduate;77
2007;Other/Interdisc.;Graduate;41
2007;Multiple Majors;Graduate;49
2007;Social Sciences;Graduate;499
2007;Public Admin;Graduate;21
2007;Physical Sciences;Graduate;502
2007;Other Health Science;Graduate;10
2007;Medicine;Graduate;386
2007;Life Sciences;Graduate;467
2007;Engineering/CS;Graduate;957
2007;Education;Graduate;156
2007;Business;Graduate;866
2007;Arts & Humanities;Graduate;592
2007;Architecture;Graduate;83
