AcademicYr;BroadDiscipline;StudentLevel;NumOfRecords
2016;Undeclared;Undergraduate;822
2016;Other/Interdisc.;Undergraduate;142
2016;Multiple Majors;Undergraduate;79
2016;Social Sciences;Undergraduate;1339
2016;Physical Sciences;Undergraduate;407
2016;Other Health Science;Undergraduate;222
2016;Life Sciences;Undergraduate;1482
2016;Engineering/CS;Undergraduate;1587
2016;Business;Undergraduate;547
2016;Arts & Humanities;Undergraduate;188
2015;Undeclared;Undergraduate;814
2015;Other/Interdisc.;Undergraduate;180
2015;Multiple Majors;Undergraduate;106
2015;Social Sciences;Undergraduate;1268
2015;Physical Sciences;Undergraduate;353
2015;Other Health Science;Undergraduate;99
2015;Life Sciences;Undergraduate;1413
2015;Engineering/CS;Undergraduate;1378
2015;Business;Undergraduate;458
2015;Arts & Humanities;Undergraduate;168
2014;Undeclared;Undergraduate;898
2014;Other/Interdisc.;Undergraduate;177
2014;Multiple Majors;Undergraduate;105
2014;Social Sciences;Undergraduate;1253
2014;Physical Sciences;Undergraduate;359
2014;Other Health Science;Undergraduate;19
2014;Life Sciences;Undergraduate;1345
2014;Engineering/CS;Undergraduate;1198
2014;Business;Undergraduate;355
2014;Arts & Humanities;Undergraduate;175
2013;Undeclared;Undergraduate;1009
2013;Other/Interdisc.;Undergraduate;144
2013;Multiple Majors;Undergraduate;94
2013;Social Sciences;Undergraduate;1268
2013;Physical Sciences;Undergraduate;382
2013;Life Sciences;Undergraduate;1365
2013;Engineering/CS;Undergraduate;1058
2013;Business;Undergraduate;332
2013;Arts & Humanities;Undergraduate;185
2012;Undeclared;Undergraduate;886
2012;Other/Interdisc.;Undergraduate;127
2012;Multiple Majors;Undergraduate;59
2012;Social Sciences;Undergraduate;1217
2012;Physical Sciences;Undergraduate;360
2012;Life Sciences;Undergraduate;1286
2012;Engineering/CS;Undergraduate;948
2012;Business;Undergraduate;349
2012;Arts & Humanities;Undergraduate;199
2011;Undeclared;Undergraduate;845
2011;Other/Interdisc.;Undergraduate;115
2011;Multiple Majors;Undergraduate;46
2011;Social Sciences;Undergraduate;1074
2011;Physical Sciences;Undergraduate;360
2011;Life Sciences;Undergraduate;1164
2011;Engineering/CS;Undergraduate;814
2011;Business;Undergraduate;308
2011;Arts & Humanities;Undergraduate;212
2010;Undeclared;Undergraduate;828
2010;Other/Interdisc.;Undergraduate;93
2010;Multiple Majors;Undergraduate;37
2010;Social Sciences;Undergraduate;836
2010;Physical Sciences;Undergraduate;303
2010;Life Sciences;Undergraduate;975
2010;Engineering/CS;Undergraduate;653
2010;Business;Undergraduate;215
2010;Arts & Humanities;Undergraduate;198
2009;Undeclared;Undergraduate;652
2009;Other/Interdisc.;Undergraduate;83
2009;Multiple Majors;Undergraduate;20
2009;Social Sciences;Undergraduate;590
2009;Physical Sciences;Undergraduate;224
2009;Life Sciences;Undergraduate;770
2009;Engineering/CS;Undergraduate;515
2009;Business;Undergraduate;185
2009;Arts & Humanities;Undergraduate;151
2008;Undeclared;Undergraduate;446
2008;Other/Interdisc.;Undergraduate;55
2008;Multiple Majors;Undergraduate;10
2008;Social Sciences;Undergraduate;507
2008;Physical Sciences;Undergraduate;134
2008;Life Sciences;Undergraduate;638
2008;Engineering/CS;Undergraduate;446
2008;Business;Undergraduate;175
2008;Arts & Humanities;Undergraduate;123
2007;Undeclared;Undergraduate;361
2007;Other/Interdisc.;Undergraduate;31
2007;Social Sciences;Undergraduate;328
2007;Physical Sciences;Undergraduate;80
2007;Life Sciences;Undergraduate;481
2007;Engineering/CS;Undergraduate;262
2007;Business;Undergraduate;122
2007;Arts & Humanities;Undergraduate;85
2016;Other/Interdisc.;Graduate;48
2016;Social Sciences;Graduate;81
2016;Physical Sciences;Graduate;101
2016;Life Sciences;Graduate;121
2016;Engineering/CS;Graduate;124
2016;Arts & Humanities;Graduate;46
2015;Other/Interdisc.;Graduate;36
2015;Social Sciences;Graduate;71
2015;Physical Sciences;Graduate;91
2015;Life Sciences;Graduate;110
2015;Engineering/CS;Graduate;98
2015;Arts & Humanities;Graduate;42
2014;Other/Interdisc.;Graduate;42
2014;Social Sciences;Graduate;46
2014;Physical Sciences;Graduate;83
2014;Life Sciences;Graduate;98
2014;Engineering/CS;Graduate;87
2014;Arts & Humanities;Graduate;28
2013;Other/Interdisc.;Graduate;45
2013;Social Sciences;Graduate;36
2013;Physical Sciences;Graduate;72
2013;Life Sciences;Graduate;93
2013;Engineering/CS;Graduate;80
2013;Arts & Humanities;Graduate;32
2012;Other/Interdisc.;Graduate;37
2012;Social Sciences;Graduate;26
2012;Physical Sciences;Graduate;65
2012;Life Sciences;Graduate;98
2012;Engineering/CS;Graduate;74
2012;Arts & Humanities;Graduate;29
2011;Other/Interdisc.;Graduate;28
2011;Social Sciences;Graduate;11
2011;Physical Sciences;Graduate;51
2011;Life Sciences;Graduate;86
2011;Engineering/CS;Graduate;59
2011;Arts & Humanities;Graduate;25
2010;Other/Interdisc.;Graduate;71
2010;Multiple Majors;Graduate;1
2010;Physical Sciences;Graduate;49
2010;Life Sciences;Graduate;41
2010;Engineering/CS;Graduate;62
2010;Arts & Humanities;Graduate;19
2009;Other/Interdisc.;Graduate;27
2009;Physical Sciences;Graduate;49
2009;Life Sciences;Graduate;77
2009;Engineering/CS;Graduate;50
2009;Arts & Humanities;Graduate;21
2008;Other/Interdisc.;Graduate;22
2008;Physical Sciences;Graduate;32
2008;Life Sciences;Graduate;69
2008;Engineering/CS;Graduate;41
2008;Arts & Humanities;Graduate;20
2007;Undeclared;Graduate;58
2007;Physical Sciences;Graduate;10
2007;Life Sciences;Graduate;21
2007;Engineering/CS;Graduate;18
2007;Arts & Humanities;Graduate;14
