AcademicYr;BroadDiscipline;StudentLevel;NumOfRecords
2016;Undeclared;Undergraduate;1323
2016;Other/Interdisc.;Undergraduate;107
2016;Multiple Majors;Undergraduate;203
2016;Social Sciences;Undergraduate;4476
2016;Public Admin;Undergraduate;187
2016;Physical Sciences;Undergraduate;1242
2016;Life Sciences;Undergraduate;4297
2016;Engineering/CS;Undergraduate;2590
2016;Business;Undergraduate;2901
2016;Arts & Humanities;Undergraduate;2473
2015;Undeclared;Undergraduate;1395
2015;Other/Interdisc.;Undergraduate;92
2015;Multiple Majors;Undergraduate;213
2015;Social Sciences;Undergraduate;4216
2015;Public Admin;Undergraduate;188
2015;Physical Sciences;Undergraduate;1040
2015;Life Sciences;Undergraduate;3844
2015;Engineering/CS;Undergraduate;2365
2015;Business;Undergraduate;2833
2015;Arts & Humanities;Undergraduate;2421
2014;Undeclared;Undergraduate;1396
2014;Other/Interdisc.;Undergraduate;96
2014;Multiple Majors;Undergraduate;239
2014;Social Sciences;Undergraduate;4142
2014;Public Admin;Undergraduate;190
2014;Physical Sciences;Undergraduate;968
2014;Life Sciences;Undergraduate;3898
2014;Engineering/CS;Undergraduate;2331
2014;Business;Undergraduate;2892
2014;Arts & Humanities;Undergraduate;2638
2013;Undeclared;Undergraduate;1396
2013;Other/Interdisc.;Undergraduate;84
2013;Multiple Majors;Undergraduate;276
2013;Social Sciences;Undergraduate;4191
2013;Public Admin;Undergraduate;144
2013;Physical Sciences;Undergraduate;883
2013;Life Sciences;Undergraduate;3829
2013;Engineering/CS;Undergraduate;2378
2013;Business;Undergraduate;2768
2013;Arts & Humanities;Undergraduate;2672
2012;Undeclared;Undergraduate;1514
2012;Other/Interdisc.;Undergraduate;88
2012;Multiple Majors;Undergraduate;337
2012;Social Sciences;Undergraduate;4146
2012;Public Admin;Undergraduate;133
2012;Physical Sciences;Undergraduate;863
2012;Life Sciences;Undergraduate;3655
2012;Engineering/CS;Undergraduate;2258
2012;Business;Undergraduate;2690
2012;Arts & Humanities;Undergraduate;2855
2011;Undeclared;Undergraduate;1886
2011;Other/Interdisc.;Undergraduate;156
2011;Multiple Majors;Undergraduate;338
2011;Social Sciences;Undergraduate;4108
2011;Public Admin;Undergraduate;116
2011;Physical Sciences;Undergraduate;766
2011;Life Sciences;Undergraduate;3524
2011;Engineering/CS;Undergraduate;2135
2011;Business;Undergraduate;2571
2011;Arts & Humanities;Undergraduate;2922
2010;Undeclared;Undergraduate;1644
2010;Other/Interdisc.;Undergraduate;385
2010;Multiple Majors;Undergraduate;333
2010;Social Sciences;Undergraduate;3905
2010;Public Admin;Undergraduate;84
