AcademicYr;BroadDiscipline;StudentLevel;NumOfRecords
2016;Undeclared;Undergraduate;1169
2016;Other/Interdisc.;Undergraduate;3836
2016;Multiple Majors;Undergraduate;590
2016;Social Sciences;Undergraduate;4238
2016;Physical Sciences;Undergraduate;3176
2016;Life Sciences;Undergraduate;6885
2016;Engineering/CS;Undergraduate;5810
2016;Business;Undergraduate;650
2016;Arts & Humanities;Undergraduate;1220
2015;Undeclared;Undergraduate;1104
2015;Other/Interdisc.;Undergraduate;2511
2015;Multiple Majors;Undergraduate;498
2015;Social Sciences;Undergraduate;4296
2015;Physical Sciences;Undergraduate;2845
2015;Life Sciences;Undergraduate;6544
2015;Engineering/CS;Undergraduate;6402
2015;Business;Undergraduate;736
2015;Arts & Humanities;Undergraduate;1087
2014;Undeclared;Undergraduate;923
2014;Other/Interdisc.;Undergraduate;1920
2014;Multiple Majors;Undergraduate;479
2014;Social Sciences;Undergraduate;4356
2014;Physical Sciences;Undergraduate;2405
2014;Life Sciences;Undergraduate;6000
2014;Engineering/CS;Undergraduate;6524
2014;Business;Undergraduate;751
2014;Arts & Humanities;Undergraduate;1049
2013;Undeclared;Undergraduate;675
2013;Other/Interdisc.;Undergraduate;1919
2013;Multiple Majors;Undergraduate;511
2013;Social Sciences;Undergraduate;4700
2013;Physical Sciences;Undergraduate;2207
2013;Life Sciences;Undergraduate;5571
2013;Engineering/CS;Undergraduate;6192
2013;Business;Undergraduate;737
2013;Arts & Humanities;Undergraduate;1151
2012;Undeclared;Undergraduate;824
2012;Other/Interdisc.;Undergraduate;2016
2012;Multiple Majors;Undergraduate;561
2012;Social Sciences;Undergraduate;5065
2012;Physical Sciences;Undergraduate;2388
2012;Life Sciences;Undergraduate;4286
2012;Engineering/CS;Undergraduate;5415
2012;Business;Undergraduate;779
2012;Arts & Humanities;Undergraduate;1303
2011;Undeclared;Undergraduate;767
2011;Other/Interdisc.;Undergraduate;2246
2011;Multiple Majors;Undergraduate;694
2011;Social Sciences;Undergraduate;5459
2011;Physical Sciences;Undergraduate;2215
2011;Life Sciences;Undergraduate;4623
2011;Engineering/CS;Undergraduate;4699
2011;Business;Undergraduate;795
2011;Arts & Humanities;Undergraduate;1510
2010;Undeclared;Undergraduate;822
2010;Other/Interdisc.;Undergraduate;2312
2010;Multiple Majors;Undergraduate;731
2010;Social Sciences;Undergraduate;5527
2010;Physical Sciences;Undergraduate;2128
2010;Life Sciences;Undergraduate;5322
2010;Engineering/CS;Undergraduate;4308
2010;Business;Undergraduate;798
2010;Arts & Humanities;Undergraduate;1674
2009;Undeclared;Undergraduate;762
2009;Other/Interdisc.;Undergraduate;2176
2009;Multiple Majors;Undergraduate;718
2009;Social Sciences;Undergraduate;5307
2009;Physical Sciences;Undergraduate;1696
2009;Life Sciences;Undergraduate;5846
2009;Engineering/CS;Undergraduate;4036
2009;Business;Undergraduate;877
2009;Arts & Humanities;Undergraduate;1680
2008;Undeclared;Undergraduate;785
2008;Other/Interdisc.;Undergraduate;2104
2008;Multiple Majors;Undergraduate;594
2008;Social Sciences;Undergraduate;5106
2008;Physical Sciences;Undergraduate;1763
2008;Life Sciences;Undergraduate;5642
2008;Engineering/CS;Undergraduate;3810
2008;Business;Undergraduate;897
2008;Arts & Humanities;Undergraduate;1776
2007;Undeclared;Undergraduate;1088
2007;Other/Interdisc.;Undergraduate;2006
2007;Multiple Majors;Undergraduate;620
2007;Social Sciences;Undergraduate;4901
2007;Physical Sciences;Undergraduate;1938
2007;Life Sciences;Undergraduate;5226
2007;Engineering/CS;Undergraduate;3656
2007;Business;Undergraduate;741
2007;Arts & Humanities;Undergraduate;1828
2016;Social Sciences;Graduate;685
2016;Public Admin;Graduate;20
2016;Physical Sciences;Graduate;747
2016;Medicine;Graduate;509
2016;Life Sciences;Graduate;755
2016;Engineering/CS;Graduate;2545
2016;Education;Graduate;141
2016;Business;Graduate;520
2016;Arts & Humanities;Graduate;450
2015;Social Sciences;Graduate;717
2015;Physical Sciences;Graduate;768
2015;Medicine;Graduate;505
2015;Life Sciences;Graduate;719
2015;Engineering/CS;Graduate;2158
2015;Education;Graduate;153
2015;Business;Graduate;356
2015;Arts & Humanities;Graduate;461
2014;Social Sciences;Graduate;748
2014;Physical Sciences;Graduate;775
2014;Medicine;Graduate;501
2014;Life Sciences;Graduate;696
2014;Engineering/CS;Graduate;1780
2014;Education;Graduate;123
2014;Business;Graduate;319
2014;Arts & Humanities;Graduate;481
2013;Other/Interdisc.;Graduate;142
2013;Social Sciences;Graduate;759
2013;Physical Sciences;Graduate;771
2013;Medicine;Graduate;502
2013;Life Sciences;Graduate;711
2013;Engineering/CS;Graduate;1631
2013;Education;Graduate;132
2013;Business;Graduate;269
2013;Arts & Humanities;Graduate;490
2012;Social Sciences;Graduate;743
2012;Physical Sciences;Graduate;744
2012;Medicine;Graduate;516
2012;Life Sciences;Graduate;720
2012;Engineering/CS;Graduate;1535
2012;Education;Graduate;142
2012;Business;Graduate;277
2012;Arts & Humanities;Graduate;497
2011;Social Sciences;Graduate;786
2011;Physical Sciences;Graduate;741
2011;Medicine;Graduate;509
2011;Life Sciences;Graduate;685
2011;Engineering/CS;Graduate;1422
2011;Education;Graduate;162
2011;Business;Graduate;291
2011;Arts & Humanities;Graduate;515
2010;Social Sciences;Graduate;744
2010;Physical Sciences;Graduate;759
2010;Medicine;Graduate;521
2010;Life Sciences;Graduate;694
2010;Engineering/CS;Graduate;1389
2010;Education;Graduate;163
2010;Business;Graduate;293
2010;Arts & Humanities;Graduate;516
2009;Social Sciences;Graduate;676
2009;Physical Sciences;Graduate;721
2009;Medicine;Graduate;510
2009;Life Sciences;Graduate;688
2009;Engineering/CS;Graduate;1307
2009;Education;Graduate;160
2009;Business;Graduate;277
2009;Arts & Humanities;Graduate;522
2008;Other/Interdisc.;Graduate;192
2008;Social Sciences;Graduate;684
2008;Physical Sciences;Graduate;665
2008;Medicine;Graduate;513
2008;Life Sciences;Graduate;619
2008;Engineering/CS;Graduate;1158
2008;Education;Graduate;164
2008;Business;Graduate;262
2008;Arts & Humanities;Graduate;491
2007;Other/Interdisc.;Graduate;185
2007;Social Sciences;Graduate;682
2007;Physical Sciences;Graduate;661
2007;Medicine;Graduate;504
2007;Life Sciences;Graduate;624
2007;Engineering/CS;Graduate;1172
2007;Education;Graduate;175
2007;Business;Graduate;245
2007;Arts & Humanities;Graduate;475
